	target_id	transcript_version	ens_gene	ext_gene_x	description	transcript_biotype	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID	Uniprot	Synonyms	Target	PTM	Fluor	Species	Clone	Isotype	Reactivity	Vendor	Cat No	Channel	Expected	Hs_confidence	Hs_signoff	Mm_confidence	Mm_signoff	JRL_bio	SM_notes	SS_list	dil	expt_TON	sample_TON	cyc_TON	ch_TON	dil_TON	eval_TON	TMA_expt	TMA_sample	TMA_cyc	TMA_ch	Unnamed: 32	eval_TMA	other	sample	ch	cycle	note	ext_gene_y
0	ENST00000482101	1.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	processed_transcript	3.25391710500573e-09	9.99993804710361e-05	3.5840709594797597	0.605596751901989	2.69104001004823	5.094968331846009	0.22193635766315098	1.66419326132436	0.936946938094524	1.66419326132436	ESR1	P03372	ER alpha	ER alpha		Alexa Fluor 488					Abcam	ab194150											Z103_CAJ_AbVal14	TON3	7.0	2.0	Era	200												ESR1
1	ENST00000482101	1.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	processed_transcript	3.25391710500573e-09	9.99993804710361e-05	3.5840709594797597	0.605596751901989	2.69104001004823	5.094968331846009	0.22193635766315098	1.66419326132436	0.936946938094524	1.66419326132436	ESR1	P03372	ER alpha	ER alpha	none	Alexa Fluor 647	xxx	EPR4097	xxx		Abcam	ab205851	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	x						CAJ_TMA5_7	TMA6	13.0	4.0								ESR1
2	ENST00000456483	3.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	protein_coding	2.6978276315900697e-08	0.000355327023317254	4.12498470567924	0.741904424374028	1.95590424884193	7.06461946593354	0.6870095388140179	2.14373307498702	1.34644643303595	2.14373307498702	ESR1	P03372	ER alpha	ER alpha		Alexa Fluor 488					Abcam	ab194150											Z103_CAJ_AbVal14	TON3	7.0	2.0	Era	200												ESR1
3	ENST00000456483	3.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	protein_coding	2.6978276315900697e-08	0.000355327023317254	4.12498470567924	0.741904424374028	1.95590424884193	7.06461946593354	0.6870095388140179	2.14373307498702	1.34644643303595	2.14373307498702	ESR1	P03372	ER alpha	ER alpha	none	Alexa Fluor 647	xxx	EPR4097	xxx		Abcam	ab205851	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	x						CAJ_TMA5_7	TMA6	13.0	4.0								ESR1
4	ENST00000488573	1.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	processed_transcript	2.4602920617937997e-08	0.000355327023317254	3.2621523041489304	0.5850283490186	2.11316105993152	4.4085967378501705	0.310565560670584	1.4496193092716203	1.25837610294089	1.4496193092716203	ESR1	P03372	ER alpha	ER alpha		Alexa Fluor 488					Abcam	ab194150											Z103_CAJ_AbVal14	TON3	7.0	2.0	Era	200												ESR1
5	ENST00000488573	1.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	processed_transcript	2.4602920617937997e-08	0.000355327023317254	3.2621523041489304	0.5850283490186	2.11316105993152	4.4085967378501705	0.310565560670584	1.4496193092716203	1.25837610294089	1.4496193092716203	ESR1	P03372	ER alpha	ER alpha	none	Alexa Fluor 647	xxx	EPR4097	xxx		Abcam	ab205851	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	x						CAJ_TMA5_7	TMA6	13.0	4.0								ESR1
6	ENST00000338799	9.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	protein_coding	9.71895293663983e-08	0.000866444144944283	3.58559598171373	0.6724797567320511	2.8947160422536498	5.515418567611349	0.361565047950063	1.96418421429542	0.8218996679727851	1.96418421429542	ESR1	P03372	ER alpha	ER alpha		Alexa Fluor 488					Abcam	ab194150											Z103_CAJ_AbVal14	TON3	7.0	2.0	Era	200												ESR1
7	ENST00000338799	9.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	protein_coding	9.71895293663983e-08	0.000866444144944283	3.58559598171373	0.6724797567320511	2.8947160422536498	5.515418567611349	0.361565047950063	1.96418421429542	0.8218996679727851	1.96418421429542	ESR1	P03372	ER alpha	ER alpha	none	Alexa Fluor 647	xxx	EPR4097	xxx		Abcam	ab205851	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	x						CAJ_TMA5_7	TMA6	13.0	4.0								ESR1
8	ENST00000206249	7.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	protein_coding	6.21980399295609e-07	0.0038229403262305295	4.6113176294235805	0.925175197389266	5.26356251364962	9.649873041648119	0.33560758303698396	4.066416595693529	0.254432845126691	4.066416595693529	ESR1	P03372	ER alpha	ER alpha		Alexa Fluor 488					Abcam	ab194150											Z103_CAJ_AbVal14	TON3	7.0	2.0	Era	200												ESR1
9	ENST00000206249	7.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	protein_coding	6.21980399295609e-07	0.0038229403262305295	4.6113176294235805	0.925175197389266	5.26356251364962	9.649873041648119	0.33560758303698396	4.066416595693529	0.254432845126691	4.066416595693529	ESR1	P03372	ER alpha	ER alpha	none	Alexa Fluor 647	xxx	EPR4097	xxx		Abcam	ab205851	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	x						CAJ_TMA5_7	TMA6	13.0	4.0								ESR1
