	target_id	transcript_version	ens_gene	ext_gene_x	description	transcript_biotype	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID	Uniprot	Synonyms	Target	PTM	Fluor	Species	Clone	Isotype	Reactivity	Vendor	Cat No	Channel	Expected	Hs_confidence	Hs_signoff	Mm_confidence	Mm_signoff	JRL_bio	SM_notes	SS_list	dil	expt_TON	sample_TON	cyc_TON	ch_TON	dil_TON	eval_TON	TMA_expt	TMA_sample	TMA_cyc	TMA_ch	Unnamed: 32	eval_TMA	other	sample	ch	cycle	note	ext_gene_y
0	ENST00000369478	3.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	1.7353569554679702e-10	7.399041451028771e-06	2.14163268163233	0.33551594864406603	5.43656120915425	1.2467422924571299	0.0106996422733371	0.247892473832441	0.31093164856817	0.31093164856817	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	Alexa Fluor 488	mouse	MT910	IgG1		Santa Cruz Biotechnologies	sc-19638 AF488	FITC/488		compared to primary							x	CAJ_AbVal4	TON1	5.0	2.0			x											CD2
1	ENST00000369478	3.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	1.7353569554679702e-10	7.399041451028771e-06	2.14163268163233	0.33551594864406603	5.43656120915425	1.2467422924571299	0.0106996422733371	0.247892473832441	0.31093164856817	0.31093164856817	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	polyclonal	IgG		Abcam	ab37212	primary, rabbit	T, NK	Level 2				Level 2	Level 2	JERRY	100	ZM_AbVal2	TON5	4.0	2.0			x											CD2
2	ENST00000369478	3.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	1.7353569554679702e-10	7.399041451028771e-06	2.14163268163233	0.33551594864406603	5.43656120915425	1.2467422924571299	0.0106996422733371	0.247892473832441	0.31093164856817	0.31093164856817	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	EPR6451	IgG		Abcam	ab131276	primary, rabbit									x	CAJ_AbVal5	TON6	3.0	2.0	300		cue_orimary											CD2
3	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	5.671304561443571e-05	0.0531444862826966	3.20472478518121	0.7959902216294441	2.77260694439838	3.70702054988196	0.5261127496049001	1.04452595353991	1.2841742016227902	1.2841742016227902	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	Alexa Fluor 488	mouse	MT910	IgG1		Santa Cruz Biotechnologies	sc-19638 AF488	FITC/488		compared to primary							x	CAJ_AbVal4	TON1	5.0	2.0			x											CD2
4	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	5.671304561443571e-05	0.0531444862826966	3.20472478518121	0.7959902216294441	2.77260694439838	3.70702054988196	0.5261127496049001	1.04452595353991	1.2841742016227902	1.2841742016227902	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	polyclonal	IgG		Abcam	ab37212	primary, rabbit	T, NK	Level 2				Level 2	Level 2	JERRY	100	ZM_AbVal2	TON5	4.0	2.0			x											CD2
5	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	5.671304561443571e-05	0.0531444862826966	3.20472478518121	0.7959902216294441	2.77260694439838	3.70702054988196	0.5261127496049001	1.04452595353991	1.2841742016227902	1.2841742016227902	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	EPR6451	IgG		Abcam	ab131276	primary, rabbit									x	CAJ_AbVal5	TON6	3.0	2.0	300		cue_orimary											CD2
6	ENST00000356798	10.0	ENSG00000005844	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	protein_coding	8.47996103266037e-08	0.0008034668856656451	1.48554764835433	0.277330003419011	6.36930275013716	0.687867029689614	0.015007296496019	0.204741077207948	0.18092645323397402	0.204741077207948	ITGAL	P20701	ITGAL; Integrin alpha L; LFA-1	CD11A	none	FITC	mouse	HI111	IgG1		eBioscience	11-0119-41	FITC/488	T, NK, CD33+ myeloid	Level 0				Level 0	Level 0	no comment	x	ZM_AbVal2	TON5	6.0	2.0			x											ITGAL
7	ENST00000356798	10.0	ENSG00000005844	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	protein_coding	8.47996103266037e-08	0.0008034668856656451	1.48554764835433	0.277330003419011	6.36930275013716	0.687867029689614	0.015007296496019	0.204741077207948	0.18092645323397402	0.204741077207948	ITGAL	P20701	ITGAL; Integrin alpha L; LFA-1	CD11A	none	Phycoerythrin	mouse	HI111	IgG1		BioLegend	301207	PE/555/Cy3	T, NK, CD33+ myeloid	Level 1				Level 1	Level 1	no comment	x	ZM_AbVal2	TON8	6.0	3.0			x											ITGAL
8	ENST00000368046	7.0	ENSG00000117091	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	protein_coding	2.40710719261565e-07	0.00146616899102219	2.24612431434453	0.43489181378367403	5.73389680542298	1.60761431029501	0.0113867347380911	0.528987235822063	0.25671839885951503	0.528987235822063	CD48	P09326		CD48	none	FITC	mouse	MEM-102	IgG1	H Mk	Abcam	ab21885	FITC/488		in progress							x	CAJ_AbVal9	TON1	4.0	2.0		NO signal (100)	CAJ_TMA11_13	TMA12	13.0	2.0	CD48	100						CD48
9	ENST00000405885	6.0	ENSG00000125347	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	protein_coding	3.67556092748332e-06	0.00828843019121009	1.86176681611594	0.40220222287572993	5.6085988131288005	1.1884341131043101	0.130141184675428	0.33204918128508193	0.27777419274049103	0.33204918128508193	IRF1	P10914		IRF1	none	Alexa Fluor 647	rabbit	D5E4	IgG		CST	14105S	647/Cy5	xxx	Level 1				no comment	no comment	no comment	100	ZM_AbVal2	TON3	5.0	4.0			CAJ_TMA8_10	TMA9	14.0	4.0	IRF1	100	AM_TB	TB_B5;TB_C3_TB_E1	8.0	4.0		IRF1
