	target_id	transcript_version	ens_gene	ext_gene_x	description	transcript_biotype	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID	Uniprot	Synonyms	Target	PTM	Fluor	Species	Clone	Isotype	Reactivity	Vendor	Cat No	Channel	Expected	Hs_confidence	Hs_signoff	Mm_confidence	Mm_signoff	JRL_bio	SM_notes	SS_list	dil	expt_TON	sample_TON	cyc_TON	ch_TON	dil_TON	eval_TON	TMA_expt	TMA_sample	TMA_cyc	TMA_ch	Unnamed: 32	eval_TMA	other	sample	ch	cycle	note	ext_gene_y
0	ENST00000368653	7.0	ENSG00000148773	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	protein_coding	1.73624151653721e-10	1.5459564614419699e-07	6.28940441465552	0.9853329634761079	5.02449319639962	4.3904124846638	0.5640768060093759	0.31854232936572197	0.17105809704147398	0.31854232936572197	MKI67	P46013		KI67	none	eFluor 570	rat	SolA15	IgG2a	H M Rt	Thermo Fisher	41-5698-82	PE/555/Cy3		in progress		Level 2					300	CAJ_AbVal7	TON2	7.0	3.0		GOOD (300) with 0.2s exp.	CAJ_TMA11_13	TMA11	14.0	3.0	KI67	300						MKI67
1	ENST00000368653	7.0	ENSG00000148773	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	protein_coding	1.73624151653721e-10	1.5459564614419699e-07	6.28940441465552	0.9853329634761079	5.02449319639962	4.3904124846638	0.5640768060093759	0.31854232936572197	0.17105809704147398	0.31854232936572197	MKI67	P46013		Ki67	none	Alexa Fluor 488	rabbit	D3B5	IgG	H M Rt	CST	11882S	FITC/488	xxx	Level 3	DuZ_ImmuneProfiling; Triplet	Level 2		Level 2	Level 2	Works	x	Z103_CAJ_AbVal14	TON2	7.0	2.0	KI67	200	CAJ_TMA5_7	TMA7	11.0	2.0			AM_TB	TB_B5;TB_C3_TB_E1	11.0	2.0		MKI67
2	ENST00000368653	7.0	ENSG00000148773	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	protein_coding	1.73624151653721e-10	1.5459564614419699e-07	6.28940441465552	0.9853329634761079	5.02449319639962	4.3904124846638	0.5640768060093759	0.31854232936572197	0.17105809704147398	0.31854232936572197	MKI67	P46013		Ki67	none	Alexa Fluor 647	mouse	Ki-67	IgG1	H	BioLegend	350509	647/Cy5	xxx	Level 2				Level 2	Level 2	JERRY	x	CAJ_AbVal3	TON4	11.0	4.0			CAJ_TMA11_13	TMA11	16.0	4.0	Ki67	200						MKI67
3	ENST00000368653	7.0	ENSG00000148773	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	protein_coding	1.73624151653721e-10	1.5459564614419699e-07	6.28940441465552	0.9853329634761079	5.02449319639962	4.3904124846638	0.5640768060093759	0.31854232936572197	0.17105809704147398	0.31854232936572197	MKI67	P46013		Ki67	none	eFluor 570	mouse	20Raj1	IgG1		Invitrogen	41-5699-80	PE/555/Cy3	xxx	Level 2				Level 2	Level 2	JERRY	x	ZM_AbVal1	TON4	6.0	3.0			same as 41-5699-82						ZM2_029_ALL2	ALL2	6.0	3.0		MKI67
4	ENST00000368653	7.0	ENSG00000148773	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	protein_coding	1.73624151653721e-10	1.5459564614419699e-07	6.28940441465552	0.9853329634761079	5.02449319639962	4.3904124846638	0.5640768060093759	0.31854232936572197	0.17105809704147398	0.31854232936572197	MKI67	P46013		KI67	none	eFluor 570	mouse	20Raj1	IgG1		Invitrogen	41-5699-82	PE/555/Cy3		in progress							x	CAJ_AbVal5	TON6	6.0	3.0			CAJ_TMA8_10	TMA10	11.0	3.0	Ki67	100	ZM2_029_ALL2	ALL2	6.0	3.0		MKI67
5	ENST00000368653	7.0	ENSG00000148773	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	protein_coding	1.73624151653721e-10	1.5459564614419699e-07	6.28940441465552	0.9853329634761079	5.02449319639962	4.3904124846638	0.5640768060093759	0.31854232936572197	0.17105809704147398	0.31854232936572197	MKI67	P46013		Ki67	none	Alexa Fluor 647	rabbit	D3B5	IgG		CST	12075S	647/Cy5	xxx	Level 2				Level 2	Level 2	Works	x	ZM_AbVal2	TON8	11.0	4.0			CAJ_TMA11_13	TMA13	12.0	4.0	Ki67	300						MKI67
6	ENST00000160262	9.0	ENSG00000076662	ICAM3	intercellular adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:5346]	protein_coding	9.47607382910513e-09	5.2535591700353305e-06	5.6998666940771	0.993034175468823	4.48856796424555	3.7603211084628	0.36206481683049296	0.534405068305002	0.18276597052284	0.534405068305002	ICAM3	P32942		CD50	none	FITC	mouse	CBR-IC3/1	IgG1		Thermo Fisher	BMS111FI	FITC/488		in progress							100	CAJ_AbVal9	TON3	7.0	2.0		NO signal (100)	CAJ_TMA11_13	TMA12	14.0	2.0	CD50	100						ICAM3
7	ENST00000471383	5.0	ENSG00000064012	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	retained_intron	3.4947795030838e-08	1.7307011977350398e-05	4.208582672131509	0.7631642818586459	3.13283706683234	1.8805105235431698	0.13056443641788099	0.16978381113861	0.398908037313776	0.398908037313776	CASP8	Q14790	Caspase 8	Caspase 8	cleaved	Phycoerythrin	rabbit	18C8	IgG		CST	12602S			in progress														CAJ_TMA11_13	TMA12	6.0	3.0	cCASP8	200						CASP8
8	ENST00000584601	5.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	protein_coding	8.19149427767788e-08	3.64686980089548e-05	5.1145878771029905	0.953705451913663	3.95647816226096	3.1222723594270403	0.5006512195437439	0.32621613410156897	0.21441130242227302	0.32621613410156897	ERBB2	P04626	EGFR2	HER2	none	Phycoerythrin	rabbit	29D8	IgG		CST	98710S	PE/555/Cy3		in progress							x	CAJ_AbVal11	TON2	6.0	3.0			CAJ_TMA5_7	TMA5	14.0	3.0								ERBB2
9	ENST00000584601	5.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	protein_coding	8.19149427767788e-08	3.64686980089548e-05	5.1145878771029905	0.953705451913663	3.95647816226096	3.1222723594270403	0.5006512195437439	0.32621613410156897	0.21441130242227302	0.32621613410156897	ERBB2	P04626	EGFR2	HER2	none	Alexa Fluor 647	xxx	24D2	xxx		BioLegend	324412	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	ZM_AbVal2	TON4	6.0	4.0			CAJ_TMA5_7	TMA5	13.0	4.0								ERBB2
