	target_id	transcript_version	ens_gene	ext_gene_x	description	transcript_biotype	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID	Uniprot	Synonyms	Target	PTM	Fluor	Species	Clone	Isotype	Reactivity	Vendor	Cat No	Channel	Expected	Hs_confidence	Hs_signoff	Mm_confidence	Mm_signoff	JRL_bio	SM_notes	SS_list	dil	expt_TON	sample_TON	cyc_TON	ch_TON	dil_TON	eval_TON	TMA_expt	TMA_sample	TMA_cyc	TMA_ch	Unnamed: 32	eval_TMA	other	sample	ch	cycle	note	ext_gene_y
0	ENST00000482101	1.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	processed_transcript	3.7828098987158703e-16	1.70977333207109e-11	3.25005681866861	0.39900911478280104	2.66385975497149	4.2475485002336	0.27581817843066303	1.3617526365611001	1.02215275253472	1.3617526365611001	ESR1	P03372	ER alpha	ER alpha		Alexa Fluor 488					Abcam	ab194150											Z103_CAJ_AbVal14	TON3	7.0	2.0	Era	200												ESR1
1	ENST00000482101	1.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	processed_transcript	3.7828098987158703e-16	1.70977333207109e-11	3.25005681866861	0.39900911478280104	2.66385975497149	4.2475485002336	0.27581817843066303	1.3617526365611001	1.02215275253472	1.3617526365611001	ESR1	P03372	ER alpha	ER alpha	none	Alexa Fluor 647	xxx	EPR4097	xxx		Abcam	ab205851	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	x						CAJ_TMA5_7	TMA6	13.0	4.0								ESR1
2	ENST00000488573	1.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	processed_transcript	1.4278156963874498e-11	1.43411395007041e-07	3.07307581682909	0.45492983281692895	1.94101891035252	4.44599776409978	0.24594006357897305	1.88280322222851	1.31164934016316	1.88280322222851	ESR1	P03372	ER alpha	ER alpha		Alexa Fluor 488					Abcam	ab194150											Z103_CAJ_AbVal14	TON3	7.0	2.0	Era	200												ESR1
3	ENST00000488573	1.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	processed_transcript	1.4278156963874498e-11	1.43411395007041e-07	3.07307581682909	0.45492983281692895	1.94101891035252	4.44599776409978	0.24594006357897305	1.88280322222851	1.31164934016316	1.88280322222851	ESR1	P03372	ER alpha	ER alpha	none	Alexa Fluor 647	xxx	EPR4097	xxx		Abcam	ab205851	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	x						CAJ_TMA5_7	TMA6	13.0	4.0								ESR1
4	ENST00000206249	7.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	protein_coding	4.2635054358920895e-11	3.85408100888337e-07	4.51187746837472	0.684175652740188	5.05976054208981	9.80426539862116	0.4182023212386479	4.39650272358668	0.432429864539815	4.39650272358668	ESR1	P03372	ER alpha	ER alpha		Alexa Fluor 488					Abcam	ab194150											Z103_CAJ_AbVal14	TON3	7.0	2.0	Era	200												ESR1
5	ENST00000206249	7.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	protein_coding	4.2635054358920895e-11	3.85408100888337e-07	4.51187746837472	0.684175652740188	5.05976054208981	9.80426539862116	0.4182023212386479	4.39650272358668	0.432429864539815	4.39650272358668	ESR1	P03372	ER alpha	ER alpha	none	Alexa Fluor 647	xxx	EPR4097	xxx		Abcam	ab205851	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	x						CAJ_TMA5_7	TMA6	13.0	4.0								ESR1
6	ENST00000338799	9.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	protein_coding	1.9325448684686598e-10	1.16464172316641e-06	3.2828690845718396	0.5156386549583679	3.08222187323002	5.37179163577302	0.28095883404577193	2.45384002582334	0.881850440854193	2.45384002582334	ESR1	P03372	ER alpha	ER alpha		Alexa Fluor 488					Abcam	ab194150											Z103_CAJ_AbVal14	TON3	7.0	2.0	Era	200												ESR1
7	ENST00000338799	9.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	protein_coding	1.9325448684686598e-10	1.16464172316641e-06	3.2828690845718396	0.5156386549583679	3.08222187323002	5.37179163577302	0.28095883404577193	2.45384002582334	0.881850440854193	2.45384002582334	ESR1	P03372	ER alpha	ER alpha	none	Alexa Fluor 647	xxx	EPR4097	xxx		Abcam	ab205851	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	x						CAJ_TMA5_7	TMA6	13.0	4.0								ESR1
8	ENST00000641399	1.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	processed_transcript	1.1593071346727197e-09	5.51567826594788e-06	2.56654374176019	0.421728481814996	2.49748530174381	3.43727078634004	0.511817964066538	1.31754684892299	1.0859014944323	1.31754684892299	ESR1	P03372	ER alpha	ER alpha		Alexa Fluor 488					Abcam	ab194150											Z103_CAJ_AbVal14	TON3	7.0	2.0	Era	200												ESR1
9	ENST00000641399	1.0	ENSG00000091831	ESR1	estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467]	processed_transcript	1.1593071346727197e-09	5.51567826594788e-06	2.56654374176019	0.421728481814996	2.49748530174381	3.43727078634004	0.511817964066538	1.31754684892299	1.0859014944323	1.31754684892299	ESR1	P03372	ER alpha	ER alpha	none	Alexa Fluor 647	xxx	EPR4097	xxx		Abcam	ab205851	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	x						CAJ_TMA5_7	TMA6	13.0	4.0								ESR1
