	target_id	transcript_version	ens_gene	ext_gene_x	description	transcript_biotype	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID	Uniprot	Synonyms	Target	PTM	Fluor	Species	Clone	Isotype	Reactivity	Vendor	Cat No	Channel	Expected	Hs_confidence	Hs_signoff	Mm_confidence	Mm_signoff	JRL_bio	SM_notes	SS_list	dil	expt_TON	sample_TON	cyc_TON	ch_TON	dil_TON	eval_TON	TMA_expt	TMA_sample	TMA_cyc	TMA_ch	Unnamed: 32	eval_TMA	other	sample	ch	cycle	note	ext_gene_y
0	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	1.40288953188823e-10	1.0986282995040702e-06	4.12912343968724	0.6436088866573729	4.48375766573454	4.982997776455179	0.12069680849507698	1.7911450329711203	0.6604820006879809	1.7911450329711203	CD8A	P01732		CD8A	none	eFluor 660	mouse	AMC908	IgG2a		Invitrogen	50-0008-82	647/Cy5		Level 3							x	CAJ_AbVal4	TON1	6.0	4.0			CAJ_TMA2_4	TMA2	5.0	4.0								CD8A
1	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	1.40288953188823e-10	1.0986282995040702e-06	4.12912343968724	0.6436088866573729	4.48375766573454	4.982997776455179	0.12069680849507698	1.7911450329711203	0.6604820006879809	1.7911450329711203	CD8A	P01732		CD8A	none	Alexa Fluor 488	mouse	AMC908	IgG2a		eBioscience	53-0008-80	FITC/488	T-cells, innate immune cells	Level 2				Level 2	Level 2	JERRY	x	CAJ_AbVal6	TON2	9.0	2.0			CAJ_TMA8_10	TMA8	8.0	2.0	CD8a	200						CD8A
2	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	1.40288953188823e-10	1.0986282995040702e-06	4.12912343968724	0.6436088866573729	4.48375766573454	4.982997776455179	0.12069680849507698	1.7911450329711203	0.6604820006879809	1.7911450329711203	CD8A	P01732		CD8A	none	eFluor 660	mouse	AMC908	IgG2a		eBioscience	50-0008-80	647/Cy5	T-cells, innate immune cells	Level 3	DuZ_ImmuneProfiling; Triplet			Level 2	Level 2	Works	300	CAJ_AbVal4	TON6	6.0	4.0			sme as 50-0008-82						AM_TB	TB_B5;TB_C3_TB_E1				CD8A
3	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	1.40288953188823e-10	1.0986282995040702e-06	4.12912343968724	0.6436088866573729	4.48375766573454	4.982997776455179	0.12069680849507698	1.7911450329711203	0.6604820006879809	1.7911450329711203	CD8A	P01732		CD8A	none	none	mouse	C8/144B	IgG1		Dako	M7103	primary, mouse	T-cells, innate immune cells	Level 2				Level 2	Level 2	JERRY		x						x						ZM1_037_Nicole1	LP40	4.0	4.0		CD8A
4	ENST00000409804	5.0	ENSG00000065911	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	protein_coding	1.2457710049068902e-09	5.64812903556284e-06	4.85322252574255	0.798984457879996	3.04010091616509	7.1768855665450895	0.671931933882481	2.27441959196579	1.0589452363258	2.27441959196579	MTHFD2	P13995	NMDMC	MTHFD2	none	none	rabbit	polyclonal	IgG	H (M Rt B)	Abcam	ab228757	primary, rabbit		in progress		Level 1					x	CAJ_AbVal5	TON4	3.0	2.0	200	Weak (200) cytoplasmic staining of some cells. Get another antibody.	x											MTHFD2
5	ENST00000368046	7.0	ENSG00000117091	CD48	CD48 molecule [Source:HGNC Symbol;Acc:HGNC:1683]	protein_coding	2.71006428479641e-09	1.11168127469151e-05	2.32425993345634	0.390746132609876	5.6676166648060295	1.6738274218818998	0.00999169797350914	0.694696948870683	0.35013265790532105	0.694696948870683	CD48	P09326		CD48	none	FITC	mouse	MEM-102	IgG1	H Mk	Abcam	ab21885	FITC/488		in progress							x	CAJ_AbVal9	TON1	4.0	2.0		NO signal (100)	CAJ_TMA11_13	TMA12	13.0	2.0	CD48	100						CD48
6	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	4.69651548871039e-09	1.57004978574852e-05	3.4835060833374	0.594700231282557	2.8382847147039505	3.80729638056911	0.38161359098954	1.2507019401836599	1.1045197399075601	1.2507019401836599	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	Alexa Fluor 488	mouse	MT910	IgG1		Santa Cruz Biotechnologies	sc-19638 AF488	FITC/488		compared to primary							x	CAJ_AbVal4	TON1	5.0	2.0			x											CD2
7	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	4.69651548871039e-09	1.57004978574852e-05	3.4835060833374	0.594700231282557	2.8382847147039505	3.80729638056911	0.38161359098954	1.2507019401836599	1.1045197399075601	1.2507019401836599	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	polyclonal	IgG		Abcam	ab37212	primary, rabbit	T, NK	Level 2				Level 2	Level 2	JERRY	100	ZM_AbVal2	TON5	4.0	2.0			x											CD2
8	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	4.69651548871039e-09	1.57004978574852e-05	3.4835060833374	0.594700231282557	2.8382847147039505	3.80729638056911	0.38161359098954	1.2507019401836599	1.1045197399075601	1.2507019401836599	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	EPR6451	IgG		Abcam	ab131276	primary, rabbit									x	CAJ_AbVal5	TON6	3.0	2.0	300		cue_orimary											CD2
9	ENST00000369478	3.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	1.6185749238818e-06	0.000992525517326823	1.86729289608126	0.389343023745586	5.44271115961062	1.31536514272617	0.0096914551941306	0.689945422372128	0.390865345597555	0.689945422372128	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	Alexa Fluor 488	mouse	MT910	IgG1		Santa Cruz Biotechnologies	sc-19638 AF488	FITC/488		compared to primary							x	CAJ_AbVal4	TON1	5.0	2.0			x											CD2
10	ENST00000369478	3.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	1.6185749238818e-06	0.000992525517326823	1.86729289608126	0.389343023745586	5.44271115961062	1.31536514272617	0.0096914551941306	0.689945422372128	0.390865345597555	0.689945422372128	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	polyclonal	IgG		Abcam	ab37212	primary, rabbit	T, NK	Level 2				Level 2	Level 2	JERRY	100	ZM_AbVal2	TON5	4.0	2.0			x											CD2
11	ENST00000369478	3.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	1.6185749238818e-06	0.000992525517326823	1.86729289608126	0.389343023745586	5.44271115961062	1.31536514272617	0.0096914551941306	0.689945422372128	0.390865345597555	0.689945422372128	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	EPR6451	IgG		Abcam	ab131276	primary, rabbit									x	CAJ_AbVal5	TON6	3.0	2.0	300		cue_orimary											CD2
12	ENST00000316386	10.0	ENSG00000163600	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	protein_coding	1.87073678121493e-07	0.00028272083955122404	3.47851802397264	0.6674384019257429	3.23938704002344	4.20765491665238	0.40832606945542604	1.6477078706916002	1.02118906657142	1.6477078706916002	ICOS	Q9Y6W8	ICOS	CD278	none	none	rabbit	SP98	IgG		Abcam	ab105227	primary, rabbit	activated T-cells	Level 1				no comment	no comment	no comment	100	CAJ_AbVal2	TON2	4.0	2.0	100		x											ICOS
13	ENST00000316386	10.0	ENSG00000163600	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	protein_coding	1.87073678121493e-07	0.00028272083955122404	3.47851802397264	0.6674384019257429	3.23938704002344	4.20765491665238	0.40832606945542604	1.6477078706916002	1.02118906657142	1.6477078706916002	ICOS	Q9Y6W8	ICOS	CD278	none	none	rabbit		IgG	H	CST	89601S			in progress								Z103_CAJ_AbVal14	TON4	3.0	2.0	ICOS	200												ICOS
14	ENST00000348564	11.0	ENSG00000081237	PTPRC	protein tyrosine phosphatase, receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	protein_coding	4.23890184623384e-07	0.000450804594740891	1.76825994502561	0.349603317528209	6.91324807029973	1.1187845066258701	0.00712743651584375	0.5569763156075229	0.21505958032916003	0.5569763156075229	PTPRC	P08575	PTPRC	CD45_h	none	Alexa Fluor 647	mouse	HI30	IgG1		BioLegend	304056	647/Cy5	xxx	Level 2				Level 2	Level 2	JERRY	300	CAJ_AbVal7	TON1	4.0	4.0			CAJ_TMA2_4	TMA2	4.0	4.0			ZM1_149_MART1	AD;PS	4.0	4.0		PTPRC
15	ENST00000348564	11.0	ENSG00000081237	PTPRC	protein tyrosine phosphatase, receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	protein_coding	4.23890184623384e-07	0.000450804594740891	1.76825994502561	0.349603317528209	6.91324807029973	1.1187845066258701	0.00712743651584375	0.5569763156075229	0.21505958032916003	0.5569763156075229	PTPRC	P08575	PTPRC	CD45_h	none	Phycoerythrin	mouse	2D1	IgG1		R&D Systems	FAB1430P	PE/555/Cy3	xxx	Level 3	DuZ_ImmuneProfiling; Triplet			Level 2	Level 2	JERRY	x	ZM_AbVal1	TON3	6.0	3.0			cued											PTPRC
16	ENST00000376059	7.0	ENSG00000204472	AIF1	allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]	protein_coding	4.3595069983334397e-07	0.000452459049828238	2.4701145307075603	0.488884749620041	5.072664645846951	2.1854150689251397	0.17277956831627	0.930335655119348	0.473982087697674	0.930335655119348	AIF1	P55008		IBA1	none	FITC	rabbit	polyclonal	IgG		Bioss	AIF1	FITC/488	xxx	Level 1	ZM1_121			no comment	no comment	no comment	150	ZM_AbVal2	TON3	8.0	4.0		HiBG. Correct staining but don't recommend	x											AIF1
17	ENST00000376059	7.0	ENSG00000204472	AIF1	allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]	protein_coding	4.3595069983334397e-07	0.000452459049828238	2.4701145307075603	0.488884749620041	5.072664645846951	2.1854150689251397	0.17277956831627	0.930335655119348	0.473982087697674	0.930335655119348	AIF1	P55008		IBA1	none	Alexa Fluor 488	rabbit	EPR6136(2)	IgG		Abcam	ab195031	FITC/488	xxx	Level 3	DuZ_ImmuneProfiling			no comment	no comment	Works	400	ZM_AbVal2	TON5	5.0	2.0			CAJ_TMA2_4	TMA4	6.0	2.0			ZM1_037_Nicole1	LP40	14.0	2.0		AIF1
