	target_id	transcript_version	ens_gene	ext_gene_x	description	transcript_biotype	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID	Uniprot	Synonyms	Target	PTM	Fluor	Species	Clone	Isotype	Reactivity	Vendor	Cat No	Channel	Expected	Hs_confidence	Hs_signoff	Mm_confidence	Mm_signoff	JRL_bio	SM_notes	SS_list	dil	expt_TON	sample_TON	cyc_TON	ch_TON	dil_TON	eval_TON	TMA_expt	TMA_sample	TMA_cyc	TMA_ch	Unnamed: 32	eval_TMA	other	sample	ch	cycle	note	ext_gene_y
0	ENST00000286301	7.0	ENSG00000182578	CSF1R	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	protein_coding	4.22566803031956e-07	0.0016709393740065301	0.888106018285827	0.175567061950957	7.11946139822289	0.32243637779586604	0.009218767696098671	0.112742950864197	0.152239196905332	0.152239196905332	CSF1R	P07333	MCSFR;cFms;CD115	CD115	none	none	rabbit	SP211	IgG		Abcam	ab183316	primary, rabbit	Monocytes, CD33+ myeloid	Level 1				no comment	no comment	no comment	100	ZM_AbVal2	TON3	4.0	2.0			cue_orimary											CSF1R
1	ENST00000286301	7.0	ENSG00000182578	CSF1R	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	protein_coding	4.22566803031956e-07	0.0016709393740065301	0.888106018285827	0.175567061950957	7.11946139822289	0.32243637779586604	0.009218767696098671	0.112742950864197	0.152239196905332	0.152239196905332	CSF1R	P07333	MCSFR;cFms;CD115	CD115	p_Y723	none	rabbit	49C10	IgG		CST	3155S	primary, rabbit	Monocytes, CD33+ myeloid	in progress				no comment	no comment	no comment	CAJ_180214 ton8. Follow up	CAJ_AbVal2	TON8	4.0	2.0	100		x											CSF1R
2	ENST00000250092	10.0	ENSG00000129226	CD68	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	protein_coding	1.34786320646719e-06	0.0039543697710251	1.1971848843002	0.24773289895575798	7.35776800639507	0.680772149218943	0.00239062341372997	0.319079605860205	0.142919793343793	0.319079605860205	CD68	P34810	Microsialin	CD68	none	Phycoerythrin	rabbit	D4B9C	IgG		CST	79594S	PE/555/Cy3	monocyte and macrophage (lysosomes)	Level 3	DuZ_ImmuneProfiling			no comment	no comment	Works	1000	CAJ_AbVal2	TON4	7.0	3.0			CAJ_TMA2_4	TMA4	10.0	3.0			ZM2_003_AZ_SMINT	SMINT1;SMINT2	10.0	3.0		CD68
3	ENST00000250092	10.0	ENSG00000129226	CD68	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	protein_coding	1.34786320646719e-06	0.0039543697710251	1.1971848843002	0.24773289895575798	7.35776800639507	0.680772149218943	0.00239062341372997	0.319079605860205	0.142919793343793	0.319079605860205	CD68	P34810	Microsialin	CD68	none	Alexa Fluor 488	rabbit	D4B9C	IgG 		CST	24850S	FITC/488		in progress							x	cue						CAJ_TMA11_13	TMA12	11.0	2.0	CD68	500	ZM2_029_ALL2	ALL2	8.0	2.0		CD68
4	ENST00000378538	7.0	ENSG00000066336	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]	protein_coding	7.98712077756415e-06	0.0117163332335146	1.0021366663617501	0.224416121798523	5.95246114442798	0.513639032972831	0.00991876439619215	0.25388530843903895	0.24521778568420802	0.25388530843903895	SPI1	P17947	PU.1	SPI1	none	Alexa Fluor 488	mouse	C-3	IgG1		Santa Cruz Biotechnologies	sc-390405 AF488	FITC/488		in progress							x	CAJ_AbVal6	TON1	6.0	2.0			CAJ_TMA2_4	TMA3	11.0	2.0								SPI1
5	ENST00000378538	7.0	ENSG00000066336	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]	protein_coding	7.98712077756415e-06	0.0117163332335146	1.0021366663617501	0.224416121798523	5.95246114442798	0.513639032972831	0.00991876439619215	0.25388530843903895	0.24521778568420802	0.25388530843903895	SPI1	P17947	PU.1	SPI1	none	Alexa Fluor 488	rabbit	9G7	IgG		CST	2216S	FITC/488		in progress		Level 0					x	cue						CAJ_TMA2_4	TMA2	13.0	2.0								SPI1
6	ENST00000378538	7.0	ENSG00000066336	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]	protein_coding	7.98712077756415e-06	0.0117163332335146	1.0021366663617501	0.224416121798523	5.95246114442798	0.513639032972831	0.00991876439619215	0.25388530843903895	0.24521778568420802	0.25388530843903895	SPI1	P17947	PU.1	SPI1	none	Phycoerythrin	rabbit	9G7	IgG		CST	81886S	PE/555/Cy3		in progress							x	cue						CAJ_TMA2_4	TMA3	13.0	3.0								SPI1
7	ENST00000355622	7.0	ENSG00000136869	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	protein_coding	8.93368552608038e-06	0.0124724610711432	0.9957602037445659	0.224194928281019	5.907300332419781	0.43868159627728603	0.0122814250670779	0.176132229736692	0.25100287233113394	0.25100287233113394	TLR4	O00206	TLR4	CD284	none	none	mouse	76B357.1	IgG2b		Abcam	ab22048	primary, mouse	CD14+ or CD33+ myeloid	in progress				no comment	no comment	no comment	50	CAJ_AbVal2	TON3	4.0	4.0	100	Cytoplasmic staining of mainly epithelial cells.	CAJ_TMA8_10	TMA9	3.0	4.0	TLR4	100						TLR4
8	ENST00000355622	7.0	ENSG00000136869	TLR4	toll like receptor 4 [Source:HGNC Symbol;Acc:HGNC:11850]	protein_coding	8.93368552608038e-06	0.0124724610711432	0.9957602037445659	0.224194928281019	5.907300332419781	0.43868159627728603	0.0122814250670779	0.176132229736692	0.25100287233113394	0.25100287233113394	TLR4	O00206	TLR4	CD284	none	APC	mouse	HTA125	IgG2a		BioLegend	312815	647/Cy5		in progress							x	CAJ_AbVal11	TON4	5.0	4.0			CAJ_TMA8_10	TMA9	5.0	4.0	TLR4	100						TLR4
9	ENST00000307851	8.0	ENSG00000135077	HAVCR2	hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437]	protein_coding	3.51128804986783e-05	0.026175788980277	0.894382644674581	0.21616561654055397	6.003568397196139	0.33782603952381	0.00584023256752434	0.12923671464936598	0.238923249107683	0.238923249107683	HAVCR2	Q8TDQ0	TIM3	TIM3	none	Alexa Fluor 488	rabbit	D5D5R	IgG		CST	54669S	FITC/488	xxx	Level 1				no comment	no comment	no comment	good zm1_121 ton3 (1:200)	ZM_AbVal2	TON6	5.0	2.0									ZM1_151_VIT	LP;MEL;NL;VIT	7.0	2.0		HAVCR2
