	target_id	transcript_version	ens_gene	ext_gene_x	description	transcript_biotype	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID	Uniprot	Synonyms	Target	PTM	Fluor	Species	Clone	Isotype	Reactivity	Vendor	Cat No	Channel	Expected	Hs_confidence	Hs_signoff	Mm_confidence	Mm_signoff	JRL_bio	SM_notes	SS_list	dil	expt_TON	sample_TON	cyc_TON	ch_TON	dil_TON	eval_TON	TMA_expt	TMA_sample	TMA_cyc	TMA_ch	Unnamed: 32	eval_TMA	other	sample	ch	cycle	note	ext_gene_y
0	ENST00000583038	5.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	6.56484443778097e-07	0.00943597915264447	1.44979650312496	0.29148589531629904	6.952417178754259	0.955595365658828	0.00613004911204729	0.418690086729675	0.19340253769630397	0.418690086729675	ERBB2	P04626	EGFR2	HER2	none	Phycoerythrin	rabbit	29D8	IgG		CST	98710S	PE/555/Cy3		in progress							x	CAJ_AbVal11	TON2	6.0	3.0			CAJ_TMA5_7	TMA5	14.0	3.0								ERBB2
1	ENST00000583038	5.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	6.56484443778097e-07	0.00943597915264447	1.44979650312496	0.29148589531629904	6.952417178754259	0.955595365658828	0.00613004911204729	0.418690086729675	0.19340253769630397	0.418690086729675	ERBB2	P04626	EGFR2	HER2	none	Alexa Fluor 647	xxx	24D2	xxx		BioLegend	324412	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	ZM_AbVal2	TON4	6.0	4.0			CAJ_TMA5_7	TMA5	13.0	4.0								ERBB2
2	ENST00000583038	5.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	6.56484443778097e-07	0.00943597915264447	1.44979650312496	0.29148589531629904	6.952417178754259	0.955595365658828	0.00613004911204729	0.418690086729675	0.19340253769630397	0.418690086729675	ERBB2	P04626	EGFR2	HER2	none	eFluor 570	xxx	MJD2	xxx		eBioscience	41-9757-80	PE/555/Cy3	xxx	Level 2				Level 1	Level 1	Works	discontinued	ZM_AbVal2	TON6	5.0	3.0			discontinued											ERBB2
3	ENST00000584888	1.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	processed_transcript	1.13437815982664e-06	0.0122287383602011	2.42701179544524	0.49869062635003997	3.2177832698732995	2.72811799731564	0.137000314795083	1.1064613892519	0.9598037217279799	1.1064613892519	ERBB2	P04626	EGFR2	HER2	none	Phycoerythrin	rabbit	29D8	IgG		CST	98710S	PE/555/Cy3		in progress							x	CAJ_AbVal11	TON2	6.0	3.0			CAJ_TMA5_7	TMA5	14.0	3.0								ERBB2
4	ENST00000584888	1.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	processed_transcript	1.13437815982664e-06	0.0122287383602011	2.42701179544524	0.49869062635003997	3.2177832698732995	2.72811799731564	0.137000314795083	1.1064613892519	0.9598037217279799	1.1064613892519	ERBB2	P04626	EGFR2	HER2	none	Alexa Fluor 647	xxx	24D2	xxx		BioLegend	324412	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	ZM_AbVal2	TON4	6.0	4.0			CAJ_TMA5_7	TMA5	13.0	4.0								ERBB2
5	ENST00000584888	1.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	processed_transcript	1.13437815982664e-06	0.0122287383602011	2.42701179544524	0.49869062635003997	3.2177832698732995	2.72811799731564	0.137000314795083	1.1064613892519	0.9598037217279799	1.1064613892519	ERBB2	P04626	EGFR2	HER2	none	eFluor 570	xxx	MJD2	xxx		eBioscience	41-9757-80	PE/555/Cy3	xxx	Level 2				Level 1	Level 1	Works	discontinued	ZM_AbVal2	TON6	5.0	3.0			discontinued											ERBB2
6	ENST00000578630	1.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	1.8876055393232799e-06	0.0135657491097316	1.61038186065962	0.337953465203817	5.53259317746038	1.22346198440009	0.18908684088721697	0.381975882329122	0.334559557672247	0.381975882329122	ERBB2	P04626	EGFR2	HER2	none	Phycoerythrin	rabbit	29D8	IgG		CST	98710S	PE/555/Cy3		in progress							x	CAJ_AbVal11	TON2	6.0	3.0			CAJ_TMA5_7	TMA5	14.0	3.0								ERBB2
7	ENST00000578630	1.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	1.8876055393232799e-06	0.0135657491097316	1.61038186065962	0.337953465203817	5.53259317746038	1.22346198440009	0.18908684088721697	0.381975882329122	0.334559557672247	0.381975882329122	ERBB2	P04626	EGFR2	HER2	none	Alexa Fluor 647	xxx	24D2	xxx		BioLegend	324412	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	ZM_AbVal2	TON4	6.0	4.0			CAJ_TMA5_7	TMA5	13.0	4.0								ERBB2
8	ENST00000578630	1.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	1.8876055393232799e-06	0.0135657491097316	1.61038186065962	0.337953465203817	5.53259317746038	1.22346198440009	0.18908684088721697	0.381975882329122	0.334559557672247	0.381975882329122	ERBB2	P04626	EGFR2	HER2	none	eFluor 570	xxx	MJD2	xxx		eBioscience	41-9757-80	PE/555/Cy3	xxx	Level 2				Level 1	Level 1	Works	discontinued	ZM_AbVal2	TON6	5.0	3.0			discontinued											ERBB2
9	ENST00000584684	1.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	6.153392840991099e-06	0.0241215796363597	1.73982720783238	0.38482820927520095	5.16635265670663	1.49807058549607	0.0364621781130073	0.704001575156783	0.40512771148161003	0.704001575156783	ERBB2	P04626	EGFR2	HER2	none	Phycoerythrin	rabbit	29D8	IgG		CST	98710S	PE/555/Cy3		in progress							x	CAJ_AbVal11	TON2	6.0	3.0			CAJ_TMA5_7	TMA5	14.0	3.0								ERBB2
10	ENST00000584684	1.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	6.153392840991099e-06	0.0241215796363597	1.73982720783238	0.38482820927520095	5.16635265670663	1.49807058549607	0.0364621781130073	0.704001575156783	0.40512771148161003	0.704001575156783	ERBB2	P04626	EGFR2	HER2	none	Alexa Fluor 647	xxx	24D2	xxx		BioLegend	324412	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	ZM_AbVal2	TON4	6.0	4.0			CAJ_TMA5_7	TMA5	13.0	4.0								ERBB2
11	ENST00000584684	1.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	6.153392840991099e-06	0.0241215796363597	1.73982720783238	0.38482820927520095	5.16635265670663	1.49807058549607	0.0364621781130073	0.704001575156783	0.40512771148161003	0.704001575156783	ERBB2	P04626	EGFR2	HER2	none	eFluor 570	xxx	MJD2	xxx		eBioscience	41-9757-80	PE/555/Cy3	xxx	Level 2				Level 1	Level 1	Works	discontinued	ZM_AbVal2	TON6	5.0	3.0			discontinued											ERBB2
12	ENST00000584908	5.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	6.659381977103791e-05	0.0698739065919454	1.7273853900099	0.43313075662739703	5.09442565490481	1.67386863886285	0.28097372955879996	0.657037532124306	0.4214453836512171	0.657037532124306	ERBB2	P04626	EGFR2	HER2	none	Phycoerythrin	rabbit	29D8	IgG		CST	98710S	PE/555/Cy3		in progress							x	CAJ_AbVal11	TON2	6.0	3.0			CAJ_TMA5_7	TMA5	14.0	3.0								ERBB2
13	ENST00000584908	5.0	ENSG00000141736	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	retained_intron	6.659381977103791e-05	0.0698739065919454	1.7273853900099	0.43313075662739703	5.09442565490481	1.67386863886285	0.28097372955879996	0.657037532124306	0.4214453836512171	0.657037532124306	ERBB2	P04626	EGFR2	HER2	none	Alexa Fluor 647	xxx	24D2	xxx		BioLegend	324412	647/Cy5	xxx	Level 0				Level 0	Level 0	no comment	x	ZM_AbVal2	TON4	6.0	4.0			CAJ_TMA5_7	TMA5	13.0	4.0								ERBB2
