	target_id	transcript_version	ens_gene	ext_gene_x	description	transcript_biotype	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID	Uniprot	Synonyms	Target	PTM	Fluor	Species	Clone	Isotype	Reactivity	Vendor	Cat No	Channel	Expected	Hs_confidence	Hs_signoff	Mm_confidence	Mm_signoff	JRL_bio	SM_notes	SS_list	dil	expt_TON	sample_TON	cyc_TON	ch_TON	dil_TON	eval_TON	TMA_expt	TMA_sample	TMA_cyc	TMA_ch	Unnamed: 32	eval_TMA	other	sample	ch	cycle	note	ext_gene_y
0	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	7.412962267409291e-11	1.0572366785779101e-06	3.4282494036040596	0.526446638668014	2.6463998005499505	4.01242150704713	0.419453208520156	1.1642385821361299	1.1197038835645101	1.1642385821361299	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	Alexa Fluor 488	mouse	MT910	IgG1		Santa Cruz Biotechnologies	sc-19638 AF488	FITC/488		compared to primary							x	CAJ_AbVal4	TON1	5.0	2.0			x											CD2
1	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	7.412962267409291e-11	1.0572366785779101e-06	3.4282494036040596	0.526446638668014	2.6463998005499505	4.01242150704713	0.419453208520156	1.1642385821361299	1.1197038835645101	1.1642385821361299	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	polyclonal	IgG		Abcam	ab37212	primary, rabbit	T, NK	Level 2				Level 2	Level 2	JERRY	100	ZM_AbVal2	TON5	4.0	2.0			x											CD2
2	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	7.412962267409291e-11	1.0572366785779101e-06	3.4282494036040596	0.526446638668014	2.6463998005499505	4.01242150704713	0.419453208520156	1.1642385821361299	1.1197038835645101	1.1642385821361299	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	EPR6451	IgG		Abcam	ab131276	primary, rabbit									x	CAJ_AbVal5	TON6	3.0	2.0	300		cue_orimary											CD2
3	ENST00000369478	3.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	2.56534790651565e-08	0.000104418423332652	1.87350473373928	0.336430246112087	5.3215780017799	1.3656800127658302	0.0108045403914708	0.635968662460182	0.400017022400425	0.635968662460182	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	Alexa Fluor 488	mouse	MT910	IgG1		Santa Cruz Biotechnologies	sc-19638 AF488	FITC/488		compared to primary							x	CAJ_AbVal4	TON1	5.0	2.0			x											CD2
4	ENST00000369478	3.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	2.56534790651565e-08	0.000104418423332652	1.87350473373928	0.336430246112087	5.3215780017799	1.3656800127658302	0.0108045403914708	0.635968662460182	0.400017022400425	0.635968662460182	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	polyclonal	IgG		Abcam	ab37212	primary, rabbit	T, NK	Level 2				Level 2	Level 2	JERRY	100	ZM_AbVal2	TON5	4.0	2.0			x											CD2
5	ENST00000369478	3.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	2.56534790651565e-08	0.000104418423332652	1.87350473373928	0.336430246112087	5.3215780017799	1.3656800127658302	0.0108045403914708	0.635968662460182	0.400017022400425	0.635968662460182	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	EPR6451	IgG		Abcam	ab131276	primary, rabbit									x	CAJ_AbVal5	TON6	3.0	2.0	300		cue_orimary											CD2
6	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	2.83806362062503e-10	3.03573475180156e-06	3.6938725110613198	0.585643331633805	4.36451065613001	4.7750529178921	0.171929535958405	1.7879453891109898	0.666024371168791	1.7879453891109898	CD8A	P01732		CD8A	none	eFluor 660	mouse	AMC908	IgG2a		Invitrogen	50-0008-82	647/Cy5		Level 3							x	CAJ_AbVal4	TON1	6.0	4.0			CAJ_TMA2_4	TMA2	5.0	4.0								CD8A
7	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	2.83806362062503e-10	3.03573475180156e-06	3.6938725110613198	0.585643331633805	4.36451065613001	4.7750529178921	0.171929535958405	1.7879453891109898	0.666024371168791	1.7879453891109898	CD8A	P01732		CD8A	none	Alexa Fluor 488	mouse	AMC908	IgG2a		eBioscience	53-0008-80	FITC/488	T-cells, innate immune cells	Level 2				Level 2	Level 2	JERRY	x	CAJ_AbVal6	TON2	9.0	2.0			CAJ_TMA8_10	TMA8	8.0	2.0	CD8a	200						CD8A
8	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	2.83806362062503e-10	3.03573475180156e-06	3.6938725110613198	0.585643331633805	4.36451065613001	4.7750529178921	0.171929535958405	1.7879453891109898	0.666024371168791	1.7879453891109898	CD8A	P01732		CD8A	none	eFluor 660	mouse	AMC908	IgG2a		eBioscience	50-0008-80	647/Cy5	T-cells, innate immune cells	Level 3	DuZ_ImmuneProfiling; Triplet			Level 2	Level 2	Works	300	CAJ_AbVal4	TON6	6.0	4.0			sme as 50-0008-82						AM_TB	TB_B5;TB_C3_TB_E1				CD8A
9	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	2.83806362062503e-10	3.03573475180156e-06	3.6938725110613198	0.585643331633805	4.36451065613001	4.7750529178921	0.171929535958405	1.7879453891109898	0.666024371168791	1.7879453891109898	CD8A	P01732		CD8A	none	none	mouse	C8/144B	IgG1		Dako	M7103	primary, mouse	T-cells, innate immune cells	Level 2				Level 2	Level 2	JERRY		x						x						ZM1_037_Nicole1	LP40	4.0	4.0		CD8A
