	target_id	transcript_version	ens_gene	ext_gene_x	description	transcript_biotype	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	GeneID	Uniprot	Synonyms	Target	PTM	Fluor	Species	Clone	Isotype	Reactivity	Vendor	Cat No	Channel	Expected	Hs_confidence	Hs_signoff	Mm_confidence	Mm_signoff	JRL_bio	SM_notes	SS_list	dil	expt_TON	sample_TON	cyc_TON	ch_TON	dil_TON	eval_TON	TMA_expt	TMA_sample	TMA_cyc	TMA_ch	Unnamed: 32	eval_TMA	other	sample	ch	cycle	note	ext_gene_y
0	ENST00000300692	8.0	ENSG00000167286	CD3D	CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]	protein_coding	2.65982675288221e-09	9.52771221496431e-06	3.75653928876446	0.6312107310243821	3.50834815298137	4.1522442355066005	0.30617872983488204	0.832184090051788	0.569926250718207	0.832184090051788	CD3D	P04234	CD3-delta	CD3D	none	Alexa Fluor 555	rabbit	EP4426	IgG		Abcam	ab208514	PE/555/Cy3	T-cells	Level 3	DuZ_ImmuneProfiling; Triplet			Level 2	Level 2	Works	100	CAJ_AbVal1	TON3	7.0	3.0			CAJ_TMA2_4	TMA2	5.0	3.0			ZM1_051_Nicole3	LP40	9.0	3.0		CD3D
1	ENST00000524590	5.0	ENSG00000109971	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	protein_coding	1.32813388254326e-06	0.00124748246323399	3.2953825449457996	0.6814982111942789	2.6872603177858503	3.5449102796107996	0.306312690424732	0.9484005606932859	1.0206582006067	1.0206582006067	HSPA8	P11142		Hsc70	none	Alexa Fluor 488	mouse	1F2-H5	IgG2a		StressMarq	SMC-151B-A488	FITC/488									x	CAJ_AbVal5	TON7	7.0	2.0			x											HSPA8
2	ENST00000380498	10.0	ENSG00000129226	CD68	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	protein_coding	1.43361954373363e-06	0.00125866173902386	4.48093799255375	0.9296025477421899	2.5646859887941402	6.533848772992901	1.37313361982456	0.924534623986408	1.0958975138005	1.0958975138005	CD68	P34810	Microsialin	CD68	none	Phycoerythrin	rabbit	D4B9C	IgG		CST	79594S	PE/555/Cy3	monocyte and macrophage (lysosomes)	Level 3	DuZ_ImmuneProfiling			no comment	no comment	Works	1000	CAJ_AbVal2	TON4	7.0	3.0			CAJ_TMA2_4	TMA4	10.0	3.0			ZM2_003_AZ_SMINT	SMINT1;SMINT2	10.0	3.0		CD68
3	ENST00000380498	10.0	ENSG00000129226	CD68	CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]	protein_coding	1.43361954373363e-06	0.00125866173902386	4.48093799255375	0.9296025477421899	2.5646859887941402	6.533848772992901	1.37313361982456	0.924534623986408	1.0958975138005	1.0958975138005	CD68	P34810	Microsialin	CD68	none	Alexa Fluor 488	rabbit	D4B9C	IgG 		CST	24850S	FITC/488		in progress							x	cue						CAJ_TMA11_13	TMA12	11.0	2.0	CD68	500	ZM2_029_ALL2	ALL2	8.0	2.0		CD68
4	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	1.90162829270229e-06	0.00158254607383321	3.68552070734874	0.773682802515852	2.5093679494473298	4.563974468395981	0.290216754081062	1.42002632851546	1.12930314599976	1.42002632851546	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	Alexa Fluor 488	mouse	MT910	IgG1		Santa Cruz Biotechnologies	sc-19638 AF488	FITC/488		compared to primary							x	CAJ_AbVal4	TON1	5.0	2.0			x											CD2
5	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	1.90162829270229e-06	0.00158254607383321	3.68552070734874	0.773682802515852	2.5093679494473298	4.563974468395981	0.290216754081062	1.42002632851546	1.12930314599976	1.42002632851546	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	polyclonal	IgG		Abcam	ab37212	primary, rabbit	T, NK	Level 2				Level 2	Level 2	JERRY	100	ZM_AbVal2	TON5	4.0	2.0			x											CD2
6	ENST00000369477	1.0	ENSG00000116824	CD2	CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639]	protein_coding	1.90162829270229e-06	0.00158254607383321	3.68552070734874	0.773682802515852	2.5093679494473298	4.563974468395981	0.290216754081062	1.42002632851546	1.12930314599976	1.42002632851546	CD2	P06729	LFA2;LFA3R;SRBC	CD2	none	none	rabbit	EPR6451	IgG		Abcam	ab131276	primary, rabbit									x	CAJ_AbVal5	TON6	3.0	2.0	300		cue_orimary											CD2
7	ENST00000358127	8.0	ENSG00000196092	PAX5	paired box 5 [Source:HGNC Symbol;Acc:HGNC:8619]	protein_coding	4.85464461318415e-06	0.0027868149641017102	3.69593149670923	0.8085655649809009	2.6251142427452403	4.7264283302949295	0.062939332161627	1.8049985903323302	1.05939698618049	1.8049985903323302				PAX5	none	Alexa Fluor 647					Santa Cruz Biotechnologies	sc-13146 AF647										x	Z100_BMBX	TON	12.0	4.0														PAX5
8	ENST00000316386	10.0	ENSG00000163600	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	protein_coding	8.05904087068714e-06	0.0039223001524553	3.25857287108957	0.730030913553525	3.19838052354526	3.7392612688190003	0.591689925329169	0.9310104596531009	0.721295041612619	0.9310104596531009	ICOS	Q9Y6W8	ICOS	CD278	none	none	rabbit	SP98	IgG		Abcam	ab105227	primary, rabbit	activated T-cells	Level 1				no comment	no comment	no comment	100	CAJ_AbVal2	TON2	4.0	2.0	100		x											ICOS
9	ENST00000316386	10.0	ENSG00000163600	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	protein_coding	8.05904087068714e-06	0.0039223001524553	3.25857287108957	0.730030913553525	3.19838052354526	3.7392612688190003	0.591689925329169	0.9310104596531009	0.721295041612619	0.9310104596531009	ICOS	Q9Y6W8	ICOS	CD278	none	none	rabbit		IgG	H	CST	89601S			in progress								Z103_CAJ_AbVal14	TON4	3.0	2.0	ICOS	200												ICOS
10	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	1.00458398937071e-05	0.00449812527080629	4.048853471267891	0.9168216523913159	4.15453510708861	5.81977093171881	0.295349975062646	2.10625557434748	0.376045744243584	2.10625557434748	CD8A	P01732		CD8A	none	eFluor 660	mouse	AMC908	IgG2a		Invitrogen	50-0008-82	647/Cy5		Level 3							x	CAJ_AbVal4	TON1	6.0	4.0			CAJ_TMA2_4	TMA2	5.0	4.0								CD8A
11	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	1.00458398937071e-05	0.00449812527080629	4.048853471267891	0.9168216523913159	4.15453510708861	5.81977093171881	0.295349975062646	2.10625557434748	0.376045744243584	2.10625557434748	CD8A	P01732		CD8A	none	Alexa Fluor 488	mouse	AMC908	IgG2a		eBioscience	53-0008-80	FITC/488	T-cells, innate immune cells	Level 2				Level 2	Level 2	JERRY	x	CAJ_AbVal6	TON2	9.0	2.0			CAJ_TMA8_10	TMA8	8.0	2.0	CD8a	200						CD8A
12	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	1.00458398937071e-05	0.00449812527080629	4.048853471267891	0.9168216523913159	4.15453510708861	5.81977093171881	0.295349975062646	2.10625557434748	0.376045744243584	2.10625557434748	CD8A	P01732		CD8A	none	eFluor 660	mouse	AMC908	IgG2a		eBioscience	50-0008-80	647/Cy5	T-cells, innate immune cells	Level 3	DuZ_ImmuneProfiling; Triplet			Level 2	Level 2	Works	300	CAJ_AbVal4	TON6	6.0	4.0			sme as 50-0008-82						AM_TB	TB_B5;TB_C3_TB_E1				CD8A
13	ENST00000352580	7.0	ENSG00000153563	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	protein_coding	1.00458398937071e-05	0.00449812527080629	4.048853471267891	0.9168216523913159	4.15453510708861	5.81977093171881	0.295349975062646	2.10625557434748	0.376045744243584	2.10625557434748	CD8A	P01732		CD8A	none	none	mouse	C8/144B	IgG1		Dako	M7103	primary, mouse	T-cells, innate immune cells	Level 2				Level 2	Level 2	JERRY		x						x						ZM1_037_Nicole1	LP40	4.0	4.0		CD8A
