GeneID,Uniprot,Synonyms,Target,PTM,Fluor,Species,Clone,Isotype,Reactivity,Vendor,Cat No,Channel,Expected,Hs_confidence,Hs_signoff,Mm_confidence,Mm_signoff,JRL_bio,SM_notes,SS_list,dil,expt_TON,sample_TON,cyc_TON,ch_TON,dil_TON,eval_TON,TMA_expt,TMA_sample,TMA_cyc,TMA_ch,,eval_TMA,other,sample,ch,cycle,note
,,,FCERG1A,,Alexa Fluor 488,mouse,1F2A9,IgG1,,Santa Cruz Biotechnologies,sc-517280 AF488,,,in progress,,,,,,,x,Z100_BMBX,TON,11,2,,,CAJ_TMA11_13,TMA11,13,2,FCERG1A,100,,,,,
STAT3,P40763,,STAT3,none,Alexa Fluor 488,rabbit,D3Z2G,IgG,,CST,14047S,FITC/488,xxx,Level 2,,,,Level 2,Level 2,JERRY,x,Z100_BMBX,TON,12,2,,,CAJ_TMA5_7,TMA7,9,2,,,ZM1_059_Nicole4,BP10,9,2,
MPO,P05164,,Myeloperoxidase,none,FITC,mouse,2C7,IgG1,,Abcam,ab11729,FITC/488,,in progress,,,,,,,x,Z100_BMBX,TON,10,2,,,CAJ_TMA8_10,TMA9,9,2,Myeloperoxidase,300,AM_TB,TB_B5;TB_C3_TB_E1,14,2,
,,,G3BP,none,AF555,rabbit,,,,abcam,ab217729,,,,,,,,,,x,Z100_BMBX,TON,12,3,,,,,,,,,,,,,
,,,PAX5,none,Alexa Fluor 647,,,,,Santa Cruz Biotechnologies,sc-13146 AF647,,,,,,,,,,x,Z100_BMBX,TON,12,4,,,,,,,,,,,,,
CD163,Q86VB7,Hemoglobin scavenger receptor,CD163,none,Alexa Fluor 488,rabbit,EPR14643-36 C-term.,IgG,,Abcam,ab218293,FITC/488,"CD14+ or CD33+ myeloid, some on DC",Level 3,DuZ_ImmuneProfiling,,,no comment,no comment,Works,500,CAJ_AbVal7,TON1,5,2,,,CAJ_TMA1,TMA1,4,2,,,ZM1_149_MART1,AD;PS,4,2,
FOXP3,Q9BZS1,IPEX;Scurfin,FOXP3,none,eFluor 570,mouse,236A/E7,IgG1,,eBioscience,41-4777-80,PE/555/Cy3,xxx,Level 3,DuZ_ImmuneProfiling; Triplet,,,Level 2,Level 2,Works,200,CAJ_AbVal11,TON1,5,3,,,CAJ_TMA1,TMA1,8,3,FOXP3,200,AM_TB,TB_B5;TB_C3_TB_E1,6,3,
TNFRSF18,Q9Y5U5,GITR,CD357,none,none,goat,polyclonal,IgG,,Thermo Fisher,PA5-47883,"primary, goat",activated T-cells,in progress,,,,no comment,no comment,no comment,100,CAJ_AbVal2,TON1,4,3,100,Cytoplasmic. Common cells types,CAJ_TMA1,TMA1,3,3,,,,,,,
CD5,P06127,,CD5,none,Alexa Fluor 647,mouse,CD5/54/F6,IgG1,H M Rt Bo,Santa Cruz Biotechnologies,sc-53204 AF647,647/Cy5,,in progress,,Level 1,,,,,x,CAJ_AbVal6,TON1,4,4,,,CAJ_TMA8_10,TMA10,11,4,CD5,200,ZM2_009_VIGNESH,ALL_ALK1,4,4,
CDKN2A,P42771,p16;INK4A;MTS1,CDKN2A,none,Alexa Fluor 647,rabbit,EPR1473,IgG,H,Abcam,ab192054,647/Cy5,xxx,Level 1,,,,Level 2,no comment,Works (meningioma),x,CAJ_AbVal11,TON1,9,4,,,CAJ_TMA8_10,TMA10,15,4,CDKN2A,,,,,,
,,,TCRgd,none,Alexa Fluor 647,mouse,V65,IgG1,,Santa Cruz Biotechnologies,sc-19601 AF647,647/Cy5,,in progress,,Level 0,,,,,100,CAJ_AbVal4,TON1,5,4,,"NO specific staining (100), homogeneous background",CAJ_TMA8_10,TMA10,13,4,TCRgd,100,,,,,
,,,TCR_Vd,none,FITC,mouse,TS8.2,IgG1,,Abcam,ab171097,FITC/488,,in progress,,,,,,,300,CAJ_AbVal6,TON1,4,2,,"NO specific staining (200), homogeneous background",CAJ_TMA8_10,TMA10,12,2,TCRVd,200,,,,,
TCF7,P36402,TCF1,TCF1/TCF7,none,Alexa Fluor 488,rabbit,C63D9,IgG,H M,CST,6444S,FITC/488,xxx,Level 1,,Level 2,,no comment,no comment,no comment,x,CAJ_AbVal6,TON1,9,2,,,CAJ_TMA8_10,TMA10,13,2,TCF1/7,100,,,,,
ARG2,P78540,,ARG2,none,none,rabbit,D9J1N,IgG,,CST,55003S,"primary, rabbit",,in progress,,,,,,,100,CAJ_AbVal9,TON1,3,2,100,"rare cells are bright, weakly CD45+",CAJ_TMA8_10,TMA10,3,2,ARG2,300,,,,,
,,B220,CD45R,none,Alexa Fluor 647,rat,RA3-6B2,IgG2a,,BioLegend,103226,647/Cy5,"B-cells, also on subset of T-cells and DCs",in progress,,,,Level 2,Level 2,JERRY,x,Z103_CAJ_AbVal14,TON1,7,4,CD45R,200,CAJ_TMA11_13,TMA11,8,4,CD45R,200,ZM1_051_Nicole3,LP40,11,4,
SLC2A1,P11166,,GLUT1,none,Alexa Fluor 647,rabbit,EPR3915,IgG,H M Rat,Abcam,ab195020,647/Cy5,xxx,Level 1,,,,Level 2,no comment,Works,300,CAJ_AbVal5,TON1,5,4,,GOOD (300). Super-bright in RBCs but also in GC membranes,CAJ_TMA11_13,TMA11,9,4,GLUT1,300,,,,,
,,,ECAD,none,Alexa Fluor 555,rabbit,EP700-Y,IgG,H,abcam,ab206878,,,,,,,,,,x,Z103,TON1,6,3,,,CAJ_TMA11_13,TMA11,16,3,Ecad,300,,,,,
PML,P29590,,PML,none,Alexa Fluor 555,rabbit,EPR16768,IgG,H,Abcam,ab217524,PE/555/Cy3,xxx,Level 1,,,,no comment,no comment,no comment,150,ZM_AbVal2,TON1,11,3,,,CAJ_TMA11_13,TMA11,9,3,PML,300,,,,,
DNTT,P04053,,TDT,none,Alexa Fluor 488,mouse,C-11,IgG2b,,Santa Cruz Biotechnologies,sc-393710 AF488,FITC/488,,in progress,,,,,,,x,CAJ_AbVal6,TON1,8,2,300,NO signal (300),CAJ_TMA11_13,TMA12,12,2,TDT,100,ZM2_009_VIGNESH,Thymus,6,2,NO signal (200)
,,,TIGIT,none,none,rabbit,polyclonal,IgG,,Abcam,ab233404,"primary, rabbit",,in progress,,,,,,,x,CAJ_AbVal11,TON1,3,2,50,,CAJ_TMA11_13,TMA12,3,2,TIGIT,50,,,,,
CD48,P09326,,CD48,none,FITC,mouse,MEM-102,IgG1,H Mk,Abcam,ab21885,FITC/488,,in progress,,,,,,,x,CAJ_AbVal9,TON1,4,2,,NO signal (100),CAJ_TMA11_13,TMA12,13,2,CD48,100,,,,,
CD4,P01730,,CD4,none,eFluor 570,mouse,N1UG0,IgG2b,,eBioscience,41-2444-82,PE/555/Cy3,,in progress,,,,,,,x,ZM_AbVal2,TON1,6,3,,,CAJ_TMA11_13,TMA12,7,3,CD4,200,,,,,
IL2RA,P01589,,CD25,none,none,mouse,4C9,IgG2b,,LS Bio,LS?C202825,"primary, mouse",,in progress,,,,,,,50,CAJ_AbVal11,TON1,3,4,50,Membrane. Brightest staining in CD3D and FOXP3 positive cells.,CAJ_TMA11_13,TMA13,3,4,CD25,100,,,,,
SMAD5,Q99717,,SMAD5,none,Alexa Fluor 488,rabbit,EP619Y,IgG,H (M Rt Mk),Abcam,ab206042,FITC/488,,in progress,,Level 1,,,,,500,CAJ_AbVal5,TON1,7,2,,STRONG (300) rare cytoplasmic staining. Weak ubiquitous nucleolar background.,CAJ_TMA11_13,TMA13,12,2,SMAD5,500,,,,,
,,,CD152,none,Alexa Fluor 488,mouse,F-8,IgG1,,Santa Cruz Biotechnologies,sc-376016 AF488,FITC/488,,in progress,,,,,,,100,CAJ_AbVal6,TON1,5,2,,weak (200) maybe 1 positive CD3D cell,CAJ_TMA11_13,TMA13,8,2,CTLA4,100,,,,,
STAT6,P42226,,STAT6,none,Alexa Fluor 488,rabbit,YE361,IgG,M (not H),Abcam,ab196478,FITC/488,,Level 1,,Level 1,,,,,x,CAJ_AbVal5,TON1,6,2,,,CAJ_TMA2_4,TMA2,8,2,,,ZM1_149_MART1,AD;PS,5,2,
STAT5A,P42229,,STAT5A,none,Alexa Fluor 647,rabbit,E289,IgG,H (M Rat),Abcam,ab194309,647/Cy5,,Level 1,,Level 1,,,,,x,CAJ_AbVal5,TON1,6,4,,,CAJ_TMA2_4,TMA2,7,4,,,ZM1_149_MART1,AD;PS,9,4,
CTLA4,P16410,CTLA4,CD152,none,Phycoerythrin,mouse,BNI3,IgG2a,,Abcam,ab210254,PE/555/Cy3,activated T-cells,in progress,ZM1_121,,,no comment,no comment,no comment,x,CAJ_AbVal6,TON1,6,3,,,CAJ_TMA2_4,TMA2,7,3,,"NO T-cell signature, bright aggregates",ZM1_149_MART1,AD;PS,6,3,
PTPRC,P08575,PTPRC,CD45_h,none,Alexa Fluor 647,mouse,HI30,IgG1,,BioLegend,304056,647/Cy5,xxx,Level 2,,,,Level 2,Level 2,JERRY,300,CAJ_AbVal7,TON1,4,4,,,CAJ_TMA2_4,TMA2,4,4,,,ZM1_149_MART1,AD;PS,4,4,
CD207,Q9UJ71,Langerin;CLEC4K,CD207,none,none,goat,polyclonal,IgG,,R&D Systems,AF2088-SP,"primary, goat",Dermal langerhans cells,Level 2,,,,no comment,no comment,no comment,500,ZM_AbVal1,TON1,2,3,500,,CAJ_TMA2_4,TMA2,3,3,,GOOD,ZM1_149_MART1,AD;PS,3,3,GREAT: 400-500
GATA3,P23771,GATA3,GATA3,none,Alexa Fluor 555,rabbit,EPR16651,IgG,H (no others mentioned),Abcam,ab210672,PE/555/Cy3,xxx,Level 2,,,,no comment,no comment,May work,x,CAJ_AbVal5,TON1,5,3,,,CAJ_TMA2_4,TMA2,9,3,,,AM_TB,TB_B5;TB_C3_TB_E1,17,3,
TBX1,Q9UL17,TBET;TBLYM,TBX21,none,eFluor 660,mouse,4B10,IgG1,H M Mk,Invitrogen,50-5825-82,647/Cy5,,Level 2,VS,Level 1,,,,,100,CAJ_AbVal5,TON1,7,4,,GOOD. Matches staining of primary Ab.,CAJ_TMA2_4,TMA2,6,4,,,ZM2_009_VIGNESH,Thymus,7,4,
CD8A,P01732,,CD8A,none,eFluor 660,mouse,AMC908,IgG2a,,Invitrogen,50-0008-82,647/Cy5,,Level 3,,,,,,,x,CAJ_AbVal4,TON1,6,4,,,CAJ_TMA2_4,TMA2,5,4,,,,,,,
CPT1A,P50416,,CPT1A,none,Alexa Fluor 488,mouse,8F6AE9,IgG2b,H M Rt,Abcam,ab171449,FITC/488,,in progress,,Level 2,,,,,x,CAJ_AbVal7,TON1,7,2,,,CAJ_TMA2_4,TMA2,12,2,,,,,,,
SPI1,P17947,PU.1,SPI1,none,Alexa Fluor 488,mouse,C-3,IgG1,,Santa Cruz Biotechnologies,sc-390405 AF488,FITC/488,,in progress,,,,,,,x,CAJ_AbVal6,TON1,6,2,,,CAJ_TMA2_4,TMA3,11,2,,,,,,,
,,TUJ1,TUBB3,none,Alexa Fluor 647,mouse,2G10,IgG2a,Rt,Abcam,ab195880,647/Cy5,,in progress,,Level 2,,,,,x,CAJ_AbVal6,TON1,9,4,,,CAJ_TMA2_4,TMA3,12,4,,,,,,,
LAMP1,P11279,LAMP1,CD107a,none,Alexa Fluor 488,mouse,H4A3,IgG1,,Abcam,ab187591,FITC/488,"broadly expressed, CD8+T and NK degranulation marker",Level 2,,Level 0,,no comment,no comment,no comment,x,CAJ_AbVal2,TON1,9,2,,,CAJ_TMA2_4,TMA4,14,2,,,AM_TB,TB_B5;TB_C3_TB_E1,7,2,
MRC1,P22897,MMR;CLEC13D;MRC1,CD206,none,Alexa Fluor 488,mouse,D-1,IgG1,,Santa Cruz Biotechnologies,sc-376108 AF488,FITC/488,,Level 2,VS,,,,,,100,CAJ_AbVal5,TON1,5,2,,,CAJ_TMA2_4,TMA4,12,2,,,AM_TB,TB_B5;TB_C3_TB_E1,8,2,
ITGAX,P20702,ITGAX; Integrin alpha X,CD11C,none,none,rabbit,D3V1E,IgG,,CST,45581S,"primary, rabbit","DC, also mono/mac/PMN",Level 2,,,,no comment,no comment,no comment,300,ZM_AbVal2,TON1,4,2,300,Cytoplasmic. Subset of cells with dendritic organization. Co-stains with CD11-e570.,CAJ_TMA5_7,TMA5,3,2,,,ZM2_003_PDAC,all,3,2,
CTNNB1,P35222,,"Catenin, beta",none,Alexa Fluor 647,xxx,L54E2,xxx,,CST,4627S,647/Cy5,xxx,Level 2,Triplet,,,Level 2,Level 2,Works,300,CAJ_AbVal9,TON1,4,4,,GREAT (1:200). Stains around KRT+ layer.,CAJ_TMA5_7,TMA5,5,4,,,ZM2_003_AZ_SMINT,SMINT1;SMINT2,8,4,
EGFR,P00533,,EGFR,none,Alexa Fluor 488,xxx,D38B1,xxx,,CST,5616S,FITC/488,xxx,Level 2,,Level 0,,Level 2,Level 2,works,500,ZM_AbVal2,TON1,7,2,,,CAJ_TMA5_7,TMA5,8,2,,,ZM2_003_AZ_SMINT,SMINT1;SMINT2,9,2,
AXL,P30530,UFO,AXL,none,Phycoerythrin,rabbit,C89E7,IgG,,CST,78909S,PE/555/Cy3,,Level 2,VS,,,,,,x,CAJ_AbVal7,TON1,7,3,,,CAJ_TMA5_7,TMA5,5,3,,,ZM2_011_Vignesh,Thymus,10,3,
CDX2,Q99626,,CDX2,none,Alexa Fluor 647,rabbit,EPR2764Y,IgG,H (M R Rabbit),Abcam,ab195008,647/Cy5,xxx,Level 1,,,,no comment,no comment,Works,x,CAJ_AbVal5,TON1,8,4,,,CAJ_TMA5_7,TMA5,8,4,,,,,,,
AXL,P30530,UFO,AXL,none,none,goat,polyclonal,IgG,,R&D Systems,AF154,"primary, goat",xxx,Level 1,Triplet,,,Level 1,Level 0,no comment,50,CAJ_AbVal9,TON1,3,3,200,Cytoplasmic in rare cell type close to keratinocyte area,CAJ_TMA5_7,TMA5,3,3,,used 300,,,,,
MS4A1,P11836,MS4A1,CD20,none,eFluor 660,mouse,L26,IgG2a,,eBioscience,50-0202-80,647/Cy5,B-cells,Level 3,DuZ_ImmuneProfiling,,,Level 2,Level 2,no comment,1000,CAJ_AbVal1,TON1,7,4,,,CAJ_TMA5_7,TMA6,5,4,,,AM_TB,TB_B5;TB_C3_TB_E1,12,4,
PGR,P06401,Progesterone Receptor,PR,none,Alexa Fluor 488,xxx,YR85,xxx,,Abcam,ab199224,FITC/488,xxx,Level 1,,,,Level 1,"Level 1 (also for 647-conjugate, wrong cat. No.)",no comment,x,CAJ_AbVal11,TON1,6,2,,,CAJ_TMA5_7,TMA6,12,2,,,,,,,
BRD4,O60885,HUNK1,BRD4,none,Alexa Fluor 488,rabbit,EPR5150(2),IgG,,Abcam,ab197606,FITC/488,,in progress,,,,,,,x,CAJ_AbVal5,TON1,8,2,,,CAJ_TMA5_7,TMA6,13,2,,,,,,,
GATA4,P43694,GATA4,GATA4,none,Alexa Fluor 647,rabbit,EPR4768,IgG,H (no others mentioned),Abcam,ab194072,647/Cy5,xxx,Level 1,,,,no comment,no comment,May work,x,CAJ_AbVal6,TON1,8,4,,,CAJ_TMA5_7,TMA6,15,4,,,,,,,
ESR2,Q92731,ER alpha,ER alpha,none,Phycoerythrin,mouse,ERb455,IgG2a,,Abcam,ab205541,PE/555/Cy3,,in progress,,,,,,,200,CAJ_AbVal9,TON1,4,3,,nuclear in subset of keratinocytes ad GC (1:100). Suggest lower dilution for selectivity.,CAJ_TMA5_7,TMA6,10,3,,,,,,,
PECAM1,P16284,PECAM-1,CD31,none,Alexa Fluor 647,rabbit,EPR3094,IgG,H,Abcam,ab218582,647/Cy5,,Level 2,ZM,Level 2,,,,,x,CAJ_AbVal7,TON1,5,4,,,CAJ_TMA5_7,TMA7,7,4,,,ZM2_003_PDAC,all,10,4,
